Abbrev,Team
NYR,New York Rangers
T.B,Tampa Bay Lightning
TBL,Tampa Bay Lightning
OTT,Ottawa Senators
CHI,Chicago Blackhawks
SEA,Seattle Kraken
NSH,Nashville Predators
CBJ,Columbus Blue Jackets
VAN,Vancouver Canucks
MIN,Minnesota Wild
NYI,New York Islanders
PIT,Pittsburgh Penguins
COL,Colorado Avalanche
WPG,Winnipeg Jets
DET,Detroit Red Wings
CAR,Carolina Hurricanes
N.J,New Jersey Devils
NJD,New Jersey Devils
WSH,Washington Capitals
ANA,Anaheim Ducks
BUF,Buffalo Sabres
STL,St. Louis Blues
PHI,Philadelphia Flyers
TOR,Toronto Maple Leafs
ARI,Arizona Coyotes
BOS,Boston Bruins
EDM,Edmonton Oilers
FLA,Florida Panthers
S.J,San Jose Sharks
SJS,San Jose Sharks
DAL,Dallas Stars
MTL,Montreal Canadiens
VGK,Vegas Golden Knights
CGY,Calgary Flames
L.A,Los Angeles Kings
LAK,Los Angeles Kings
UTA,Utah Hockey Club
