Date,Start Time (Sask),Start Time (ET),Visitor,Score,Home,Score,Status
2024-10-04,11:00 AM,1:00 PM,New Jersey Devils,4,Buffalo Sabres,1,Regulation
2024-10-05,8:00 AM,10:00 AM,Buffalo Sabres,1,New Jersey Devils,3,Regulation
2024-10-08,2:30 PM,4:30 PM,St. Louis Blues,3,Seattle Kraken,2,Regulation
2024-10-08,5:00 PM,7:00 PM,Boston Bruins,4,Florida Panthers,6,Regulation
2024-10-08,8:00 PM,10:00 PM,Chicago Blackhawks,2,Utah Hockey Club,5,Regulation
2024-10-09,5:00 PM,7:00 PM,Toronto Maple Leafs,0,Montreal Canadiens,1,Regulation
2024-10-09,5:30 PM,7:30 PM,New York Rangers,6,Pittsburgh Penguins,0,Regulation
2024-10-09,8:00 PM,10:00 PM,Winnipeg Jets,6,Edmonton Oilers,0,Regulation
2024-10-09,8:00 PM,10:00 PM,Calgary Flames,6,Vancouver Canucks,5,OT
2024-10-09,8:00 PM,10:00 PM,Colorado Avalanche,4,Vegas Golden Knights,8,Regulation
2024-10-10,5:00 PM,7:00 PM,Montreal Canadiens,4,Boston Bruins,6,Regulation
2024-10-10,5:00 PM,7:00 PM,Los Angeles Kings,3,Buffalo Sabres,1,Regulation
2024-10-10,5:00 PM,7:00 PM,Florida Panthers,1,Ottawa Senators,3,Regulation
2024-10-10,5:00 PM,7:00 PM,Toronto Maple Leafs,4,New Jersey Devils,2,Regulation
2024-10-10,5:30 PM,7:30 PM,Utah Hockey Club,5,New York Islanders,4,OT
2024-10-10,6:00 PM,8:00 PM,Pittsburgh Penguins,6,Detroit Red Wings,3,Regulation
2024-10-10,6:00 PM,8:00 PM,Dallas Stars,4,Nashville Predators,3,Regulation
2024-10-10,6:00 PM,8:00 PM,Columbus Blue Jackets,2,Minnesota Wild,3,Regulation
2024-10-10,8:30 PM,10:30 PM,St. Louis Blues,5,San Jose Sharks,4,OT
2024-10-11,5:00 PM,7:00 PM,Tampa Bay Lightning,4,Carolina Hurricanes,1,Regulation
2024-10-11,6:00 PM,8:00 PM,Chicago Blackhawks,1,Winnipeg Jets,2,OT
2024-10-11,8:00 PM,10:00 PM,Philadelphia Flyers,3,Vancouver Canucks,2,SO
2024-10-11,8:00 PM,10:00 PM,St. Louis Blues,3,Vegas Golden Knights,4,Regulation
2024-10-12,11:00 AM,1:00 PM,Los Angeles Kings,1,Boston Bruins,2,OT
2024-10-12,5:00 PM,7:00 PM,Florida Panthers,2,Buffalo Sabres,5,Regulation
2024-10-12,5:00 PM,7:00 PM,Pittsburgh Penguins,2,Toronto Maple Leafs,4,Regulation
2024-10-12,5:00 PM,7:00 PM,Ottawa Senators,1,Montreal Canadiens,4,Regulation
2024-10-12,5:00 PM,7:00 PM,Nashville Predators,0,Detroit Red Wings,3,Regulation
2024-10-12,5:00 PM,7:00 PM,Utah Hockey Club,6,New York Rangers,5,OT
2024-10-12,5:00 PM,7:00 PM,New Jersey Devils,5,Washington Capitals,3,Regulation
2024-10-12,6:00 PM,8:00 PM,New York Islanders,0,Dallas Stars,3,Regulation
2024-10-12,6:00 PM,8:00 PM,Seattle Kraken,5,Minnesota Wild,4,SO
2024-10-12,7:00 PM,9:00 PM,Columbus Blue Jackets,6,Colorado Avalanche,4,Regulation
2024-10-12,8:00 PM,10:00 PM,Philadelphia Flyers,3,Calgary Flames,6,Regulation
2024-10-12,8:00 PM,10:00 PM,Chicago Blackhawks,5,Edmonton Oilers,2,Regulation
