team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
NYI,2024,NYI,NYI,Team Level,other,32,0.45,0.46,0.46,4003.0,62.19,12.02,4.83,11.08,2.09,39.08,18.91,11.32,12.02,11.32,55.0,33.0,30.0,118.0,9.0,3.0,1.0,9.0,2.0,41.0,24.0,46.0,79.0,4.0,8.0,59.0,15.0,8.0,12.0,51.0,22.0,15.0,2.1,2.6,7.32,0.0,1.0,8.0,118.0,88.0,88.0,6.0,1.37,0.38,0.38,13.01,13.01,12.26,75.2,14.97,5.3,13.74,2.45,40.27,25.26,14.31,14.97,14.31,77.0,25.0,35.0,137.0,22.0,6.0,3.0,8.0,0.0,31.0,35.0,55.0,80.0,3.0,6.0,45.0,12.0,5.0,10.0,60.0,19.0,23.0,2.61,2.52,9.84,3.0,4.0,15.0,137.0,102.0,102.0,3.0,1.51,2.13,2.13,14.35,14.35,13.82
NYI,2024,NYI,NYI,Team Level,all,32,0.49,0.49,0.5,116937.0,980.18,91.61,67.11,237.41,33.21,539.11,380.55,87.92,92.0,88.28,897.0,452.0,477.0,1826.0,84.0,92.0,13.0,206.0,2.0,431.0,534.0,813.0,1265.0,76.0,159.0,988.0,715.0,156.0,471.0,1009.0,241.0,99.0,29.01,29.46,33.14,22.0,35.0,27.0,1827.97,1349.0,1349.18,215.0,15.04,18.62,18.64,88.01,88.17,85.89,988.52,96.92,64.3,235.88,32.7,531.46,392.75,93.88,97.03,93.96,912.0,442.0,552.0,1906.0,98.0,93.0,9.0,143.0,2.0,429.0,589.0,814.0,1256.0,92.0,197.0,796.0,685.0,195.0,444.0,1014.0,235.0,105.0,29.52,29.65,37.75,35.0,27.0,36.0,1903.95,1354.0,1355.7,220.0,14.19,20.22,20.22,90.89,90.9,89.49
NYI,2024,NYI,NYI,Team Level,5on5,32,0.49,0.48,0.49,97471.0,764.64,63.41,49.18,192.37,25.74,415.94,304.37,61.44,63.8,61.81,688.0,363.0,384.0,1435.0,61.0,68.0,10.0,154.0,0.0,323.0,445.0,627.0,990.0,68.0,143.0,759.0,673.0,133.0,419.0,812.0,172.0,67.0,23.5,21.2,18.71,22.0,26.0,13.0,1436.97,1051.0,1051.18,202.0,10.22,15.21,15.23,58.4,58.55,57.83,803.15,65.28,50.23,201.07,26.93,431.18,326.32,63.22,65.38,63.3,724.0,377.0,476.0,1577.0,52.0,78.0,4.0,119.0,2.0,361.0,489.0,672.0,1049.0,86.0,185.0,631.0,645.0,172.0,403.0,853.0,186.0,62.0,23.8,23.41,18.07,28.0,18.0,6.0,1574.95,1101.0,1102.71,200.0,10.41,16.16,16.16,59.53,59.54,58.87
NYI,2024,NYI,NYI,Team Level,4on5,32,0.13,0.17,0.21,6140.0,24.92,2.16,1.27,3.54,0.78,7.81,17.45,2.1,2.16,2.1,25.0,8.0,0.0,33.0,3.0,3.0,1.0,3.0,0.0,6.0,18.0,22.0,30.0,2.0,4.0,67.0,19.0,9.0,7.0,22.0,9.0,2.0,0.53,1.1,0.53,0.0,2.0,1.0,33.0,33.0,33.0,2.0,0.28,0.28,0.28,2.16,2.16,2.16,89.97,14.72,7.74,18.05,2.7,53.52,27.27,14.43,14.72,14.43,88.0,36.0,36.0,160.0,23.0,7.0,2.0,16.0,0.0,33.0,45.0,65.0,101.0,1.0,2.0,50.0,9.0,4.0,16.0,80.0,26.0,18.0,2.33,3.17,9.22,3.0,5.0,15.0,160.0,124.0,124.0,4.0,2.04,1.49,1.49,15.27,15.27,15.07
NYI,2024,NYI,NYI,Team Level,5on4,32,0.88,0.88,0.87,9323.0,128.43,14.01,11.84,30.42,4.61,76.29,39.83,13.05,14.01,13.05,129.0,48.0,63.0,240.0,11.0,18.0,1.0,40.0,0.0,61.0,47.0,118.0,166.0,2.0,4.0,103.0,8.0,6.0,33.0,124.0,38.0,15.0,2.88,4.55,6.58,0.0,6.0,5.0,240.0,177.0,177.0,5.0,3.17,2.75,2.75,14.43,14.43,13.63,20.2,1.94,1.03,3.02,0.62,6.49,13.9,1.91,1.94,1.91,23.0,4.0,5.0,32.0,1.0,2.0,0.0,0.0,0.0,4.0,20.0,22.0,26.0,2.0,4.0,70.0,19.0,14.0,15.0,21.0,4.0,2.0,0.78,0.54,0.62,1.0,0.0,0.0,32.0,27.0,27.0,13.0,0.23,0.44,0.44,1.74,1.74,1.73
FLA,2024,FLA,FLA,Team Level,other,31,0.36,0.45,0.43,4918.0,57.9,9.74,4.34,12.48,2.21,31.18,22.06,8.7,9.74,8.7,57.0,25.0,27.0,109.0,10.0,10.0,0.0,12.0,1.0,27.0,22.0,47.0,72.0,6.0,12.0,57.0,18.0,9.0,11.0,44.0,22.0,16.0,1.66,2.34,5.74,2.0,2.0,6.0,109.0,82.0,82.0,6.0,1.2,1.94,1.94,9.0,9.0,8.41,79.38,17.47,5.49,15.17,2.58,42.86,25.43,16.6,17.47,16.6,80.0,29.0,22.0,131.0,16.0,6.0,0.0,13.0,0.0,41.0,33.0,64.0,93.0,4.0,8.0,65.0,16.0,6.0,19.0,67.0,19.0,23.0,2.5,2.56,12.4,3.0,1.0,12.0,131.0,109.0,109.0,7.0,1.6,1.79,1.79,17.28,17.28,16.54
FLA,2024,FLA,FLA,Team Level,all,31,0.52,0.54,0.53,112703.0,1017.66,95.79,69.15,253.9,34.32,561.26,399.56,91.24,96.13,91.57,950.0,464.0,553.0,1967.0,106.0,107.0,16.0,221.0,3.0,498.0,479.0,844.0,1308.0,126.0,276.0,905.0,856.0,186.0,454.0,1066.0,246.0,102.0,30.21,30.1,35.48,39.0,35.0,32.0,1977.1,1414.0,1417.95,202.0,15.35,22.35,22.35,88.79,89.1,86.47,908.07,89.04,60.81,221.18,30.33,493.49,352.16,85.43,89.09,85.5,830.0,417.0,408.0,1655.0,99.0,84.0,11.0,188.0,1.0,403.0,472.0,731.0,1148.0,136.0,298.0,980.0,732.0,160.0,481.0,937.0,212.0,98.0,25.69,26.2,37.14,35.0,33.0,31.0,1655.97,1247.0,1247.97,246.0,13.78,17.11,17.11,85.7,85.76,83.57
FLA,2024,FLA,FLA,Team Level,5on5,31,0.53,0.54,0.54,91030.0,791.59,62.39,50.31,207.34,26.66,438.1,317.2,60.4,62.72,60.72,739.0,363.0,439.0,1541.0,65.0,77.0,12.0,174.0,1.0,395.0,390.0,674.0,1037.0,111.0,246.0,690.0,799.0,159.0,411.0,878.0,168.0,56.0,24.95,21.34,16.1,33.0,20.0,12.0,1551.1,1102.0,1105.95,183.0,10.41,14.67,14.67,58.12,58.43,57.58,693.48,54.8,43.29,177.69,23.07,374.76,279.37,52.89,54.86,52.96,625.0,328.0,336.0,1289.0,66.0,63.0,10.0,150.0,0.0,300.0,374.0,559.0,887.0,121.0,268.0,746.0,676.0,130.0,418.0,741.0,160.0,52.0,20.1,19.67,15.03,30.0,26.0,10.0,1289.97,953.0,953.97,220.0,8.97,13.28,13.28,50.49,50.55,49.77
FLA,2024,FLA,FLA,Team Level,4on5,31,0.13,0.16,0.17,7940.0,24.32,2.45,1.17,3.85,0.77,7.63,17.13,2.36,2.45,2.36,27.0,6.0,6.0,39.0,6.0,3.0,2.0,2.0,0.0,5.0,17.0,21.0,27.0,3.0,6.0,62.0,27.0,11.0,16.0,26.0,4.0,3.0,0.88,0.52,1.05,2.0,2.0,2.0,39.0,33.0,33.0,12.0,0.27,1.05,1.05,1.67,1.67,1.64,120.78,15.74,11.35,26.0,4.19,70.96,36.76,14.97,15.74,14.97,110.0,55.0,47.0,212.0,15.0,15.0,1.0,25.0,1.0,56.0,53.0,95.0,150.0,7.0,14.0,87.0,13.0,9.0,30.0,114.0,29.0,22.0,2.76,3.52,9.45,1.0,5.0,9.0,212.0,165.0,165.0,8.0,3.05,2.03,2.03,16.75,16.75,16.14
FLA,2024,FLA,FLA,Team Level,5on4,31,0.95,0.92,0.91,8815.0,143.84,21.22,13.34,30.23,4.69,84.35,43.18,19.79,21.22,19.79,127.0,70.0,81.0,278.0,25.0,17.0,2.0,33.0,1.0,71.0,50.0,102.0,172.0,6.0,12.0,96.0,12.0,7.0,16.0,118.0,52.0,27.0,2.73,5.9,12.6,2.0,11.0,12.0,278.0,197.0,197.0,1.0,3.47,4.69,4.69,20.0,20.0,18.85,14.44,1.02,0.67,2.32,0.48,4.91,10.59,0.97,1.02,0.97,15.0,5.0,3.0,23.0,2.0,0.0,0.0,0.0,0.0,6.0,12.0,13.0,18.0,4.0,8.0,82.0,27.0,15.0,14.0,15.0,4.0,1.0,0.33,0.45,0.25,1.0,1.0,0.0,23.0,20.0,20.0,11.0,0.15,0.0,0.0,1.18,1.18,1.12
